영상제목,유튜버,카테고리
"이재명 피습 이어 또…""정치테러 규탄"" 정치권 한목소리 / SBS 8뉴스", SBS 뉴스 ,게임
[자막뉴스] 하늘도 무심한 日...도시 마비되며 '대혼란' / YTN,  YTN ,게임
"[소셜 픽] '여기 영국인데?'…중국인들 ""우리 찍지 마"" 유튜버와 실랑이 / JTBC 아침&", JTBC News ,게임
배현진 습격범은 10대 중학생‥정치인 테러 '비상' - [LIVE] MBC 뉴스투데이 2024년 1월 26일, MBCNEWS ,게임
[자막뉴스] 고속도로 30대 여성 사망...뒤늦게 밝혀진 '충격적 사실' / KBS 2024.01.24, KBS News ,게임
"“年5.5%에서 3%대 갈아탔어요”, 주담대 ‘온라인 환승’ 열풍..혜택 얼마나? - [핫이슈PLAY] MBC뉴스 2024년 1월 26일", MBCNEWS ,게임
"우크라이나에 대규모 공습…나토, 포탄 22만발 구매계약 / 연합뉴스 (Yonhapnews)", 연합뉴스 Yonhapnews ,게임
“납치당했다” 112 신고 미출동…유족 ‘3억 원대’ 소송 / KBS  2024.01.24., KBS News ,게임
"[다시보기] 국민과 함께하는 민생토론회 여섯 번째, 교통 격차 해소 | 2024년 1월 25일 채널A 현장중계", 채널A 뉴스 ,게임
[자막뉴스] 속옷 바람 '혼비백산'...도시를 완전히 파괴한 中 강진 / YTN,  YTN ,게임
[다시보기] 국민의힘 정치개혁 긴급 좌담회-1월 25일 (목) 풀영상 [이슈현장] / JTBC News, JTBC News ,게임
요즘 유행인 이 튀김 먹으면 안 되는 이유｜뉴스들어가혁, JTBC News ,게임
"[자막뉴스] 치열한 경쟁 뚫고도 ""포기합니다""...미분양 무덤 / YTN",  YTN ,게임
"다 짓기도 전에 ""팔아요""…""자금 사정 최악"" 암울 / SBS 8뉴스", SBS 뉴스 ,게임
"""북한, 서해상 순항미사일 발사""‥ 열흘 만에 도발 - [LIVE] MBC 12시뉴스 2024년 01월 24일", MBCNEWS ,게임
"""주말에 공원 많이 다니는데…"" 부산 도심 한복판 '공포' / SBS 8뉴스", SBS 뉴스 ,게임
[현장의재구성] 경계경보 울린 서울 #shorts / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"김웅 ""윤·한 둘 다 졌다… 김건희 외국행도 해법""    ""김건희 명품백이 대통령기록물이면 갤러리아 명품관은 박물관”", CBS 김현정의 뉴스쇼 ,게임
"[자막뉴스] ""나 뉴스 나왔다"" 상황 판단 안되던 딸…고심 끝에 내린 아버지 결단 / JTBC News", JTBC News ,게임
"[뉴스킹] ""겪어봐서 잘 아는데…"" 김건희 여사 일화 폭로 #이준석 _240124", YTN 라디오 ,게임
"""이틀 굶어서 700원만""…돌연 삭제된 글, 알고 보니 / SBS / 뉴스딱", SBS 뉴스 ,게임
"美 언론 “2200달러 명품백, 韓 집권 여당 뒤흔들다” | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
[한국경제TV LIVE] No.1 경제/증권 채널, 한국경제TV ,게임
[자막뉴스] 박살 난 러시아 유류 창고...'게임 체인저'된 우크라 공격 목표 / YTN,  YTN ,게임
제주공항에 2만 명 몰려 아수라장 | 뉴스A, 채널A 뉴스 ,게임
신라면 앞에 '이것' 빠진다...농심이 내린 '결단' [지금이뉴스] / YTN,  YTN ,게임
[자막뉴스] 공포 속에서도 떠올린 아버지 유언…슬리퍼 신고 승강기 타더니만 / KBS 2024.01.23., KBS News ,게임
[자막뉴스] 20년이나 걸렸는데 순식간에...일본의 몰락 / YTN,  YTN ,게임
[현장의재구성] 물 마시다 체할 뻔 #Shorts / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"""마리 앙투아네트에 충격""…용산 불 댕긴 전말? #뉴스다 / JTBC News", JTBC News ,게임
"""살려달라"" ""재앙의 현장""...체감 영하 40도 한파란 이런 것 / 현장영상 위클리 / SBS", SBS 뉴스 ,게임
"[오늘 이 뉴스] ""결혼 않고 애 안 키워 헛소리"" 맹비난에 ""꼰대 막말"" 역풍 (2024.01.23/MBC뉴스)", MBCNEWS ,게임
어마어마한(?) 수사기록 / 채널A #뉴스A라이브 #shorts, 채널A 뉴스 ,게임
강진 이후 새로운 '통제불능' 재난...신음하는 日 [지금이뉴스] / YTN,  YTN ,게임
미성년자에 첫 '사형' 선고…소년법 개정한 일본 (자막뉴스) / SBS, SBS 뉴스 ,게임
"차 타고 어디 못 가…""어떻게 당할지 몰라"" 미국 실제 상황 #뉴스다 / JTBC News", JTBC News ,게임
"[자막뉴스] ""尹 온대서 기다렸는데 당했다""...울분 토한 서천 상인들 / YTN",  YTN ,게임
"[자막뉴스] 하마스, 휴전안 거부...이스라엘 ""싸움 멈추지 않겠다"" / YTN",  YTN ,게임
여야 합의 불발‥'중대재해법' 내일 전면 시행 #Shorts (MBC뉴스), MBCNEWS ,게임
"""BTS 입대 시켜놓고 군, 꼼수?""...손흥민 아버지가 던진 돌직구 / 현장영상 위클리 / SBS", SBS 뉴스 ,게임
"“尹, 한동훈에 대한 기대·지지 철회”…진실은? | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
[자막뉴스] 가족이 최고는 옛말...절반 가까운 한국인 '뜻밖의 대답' / YTN,  YTN ,게임
"한동훈 웃으며 90도 인사…尹, 악수 뒤 어깨 ‘툭’ | 뉴스TOP 10", 채널A 뉴스TOP10 ,게임
"""입 막는 심기 경호"" ""운동권 구태 도발"" 대통령실 30초 영상공개..과잉은 누가? - [핫이슈PLAY] MBC뉴스 2024년 1월 19일", MBCNEWS ,게임
"13만 원 입금에 '깜짝'…2,500만원 날린 직장인 / SBS 8뉴스", SBS 뉴스 ,게임
[자막뉴스] 한국 제품 사러 '오픈런'...지각변동 일어난 K뷰티 / YTN,  YTN ,게임
"[오늘 이 뉴스] ""김정숙 여사가 명품백 받았다면? 한동훈 '몰카건 뭐건 가야' 했겠죠"" (2024.01.23/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] 다 짓고 나자 ""손 못댄다"" 통보…두 눈 의심케 한 신축 아파트 모습 / JTBC News", JTBC News ,게임
"[자막뉴스] 사우나로 뛰어가는 구급대원..이틀새 2명 사망, 원인은? / KBS 2024.01.20.", KBS News ,게임
[단독]“비서실장이 사퇴 요구” vs “한동훈이 먼저 질문”  | 뉴스A, 채널A 뉴스 ,게임
"""에구 저걸 어째""…보자마자 뛰쳐나갔다 (링크는 댓글에)", SBS 뉴스 ,게임
[뉴스쏙] 오늘 '대한' 전국 대부분 눈·비…강원영동 최고 40㎝ 폭설 / 다음주 서울 영하 14도 강력한파 온다 / 연합뉴스TV (YonhapnewsTV), 연합뉴스TV ,게임
"'절치부심' 삼성 ""칼 갈았다"" 갤럭시 S24 언팩에 '술렁' [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"[뉴스외전 경제 '쏙'] 정철진 ""주담대 갈아타기로 집주인 버티기‥단기 집값 급락 막을 수도"" (2024.01.25/뉴스외전/MBC)", MBCNEWS ,게임
[LIVE] MBC 뉴스 모바일 24시 라이브, MBCNEWS ,게임
[풀영상] 뉴스광장 : 중부 한파주의보…충청 등 대설특보 - 2024년 1월 22일(월) / KBS, KBS News ,게임
"""퇴근 후 맥주? 사치""…25년 만에 최대 상승률 기록한 식당 맥주 물가 / SBS / 뉴블더", SBS 뉴스 ,게임
"정부, 10년 만에 “단말기 유통법 전면 폐지”  | 뉴스A", 채널A 뉴스 ,게임
"미국, 북극한파 영향에 “한 주 새 89명 사망” / KBS  2024.01.22.", KBS News ,게임
"[자막뉴스] 움직이는 북한 MZ들, 한국으로 넘어온다! / KBS 2024.01.21.", KBS News ,게임
배우 송유정 사망…가족끼리 조용한 장례 / 연합뉴스 (Yonhapnews), 연합뉴스 Yonhapnews ,게임
"[오늘 이 뉴스] ""이건 '약속대련'이라 봅니다 근데..작전을 왜 이렇게 했나"" (2024.01.22/MBC뉴스)", MBCNEWS ,게임
"[단독]“뒤통수 맞았다더라”…윤 대통령, 심경 토로  | 뉴스A", 채널A 뉴스 ,게임
"보잉기, 벽 뚫린지 보름 만에 불 뿜으며 착륙 | 뉴스A", 채널A 뉴스 ,게임
울면서 빌어야 했던 엄마…부끄러운 대한민국의 현실 / SBS 8뉴스, SBS 뉴스 ,게임
"한동훈 ""사퇴 요구 거절""‥윤 대통령, 일정 취소 - [LIVE] MBC 뉴스데스크 2024년 01월 22일", MBCNEWS ,게임
"한동훈 ""내 임기는 총선 이후""…민주당 ""법적 조치 검토"" 外 1/22(월) / SBS 8뉴스", SBS 뉴스 ,게임
"'엄카' 들고 지하철 출퇴근…""105만 원 내세요"" 무슨 일? (자막뉴스) / SBS", SBS 뉴스 ,게임
이번 주 李 재판 스케줄…주 3회 현실화 | 뉴스A 라이브, 채널A 뉴스 ,게임
"尹-한동훈 '명품백' 정면충돌..""또 개싸움인가"" ""다른 팀인 척"" [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"[뉴스 '꾹'] ""할아버지 때려도 돼?"" ""아닙니다""..'무릎 꿇고 참교육' 유튜버 논란 (2024.01.16/MBC뉴스)", MBCNEWS ,게임
이런 날 타려고 차 샀는데…오히려 '벌벌' 떠는 사람들 #뉴스다 / JTBC News, JTBC News ,게임
"[자막뉴스] ""A4용지 살 돈도 없다"" 자조...연구현장 떠나는 과학 인재들 / YTN",  YTN ,게임
"[자막뉴스] 밤하늘 보다 ""Oh My God!"" 또다시 '그 항공기' (MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 선대 유산까지 부정...줄줄이 제거 들어간 김정은 / YTN,  YTN ,게임
"김준일 ""신임 법무부 장관? 한동훈 라인 정리"" [김혜영의 뉴스공감]", CPBC 뉴스 ,게임
[다시보기] 뉴스룸｜강원 폭설에 청소년 올림픽 차질…전국 매서운 한파 찾아온다 (24.1.21) / JTBC News, JTBC News ,게임
[자막뉴스] 경찰이 수사중인 40대 '성폭행범'..찾아가 봤더니 집에 있었다 (MBC뉴스), MBCNEWS ,게임
"설 대목 앞두고 날벼락…윤 대통령 ""특별재난지역 검토"" / SBS 8뉴스", SBS 뉴스 ,게임
"수산물 소비 '반토막', 원산지보다 더 중요한 것 따로 있다 / KBS  2024.01.22.", KBS News ,게임
모닝와이드｜1/22(월) - 서울 아침 영하 10도…이번 주 내내 강추위 / SBS, SBS 뉴스 ,게임
"""4억 인구가 위험하다""...중국 경제 '빨간불' [지금이뉴스] / YTN",  YTN ,게임
"이재명 '우리 북한' 발언 논란, 시각은? [뉴스와이드]", MBN News ,게임
대형마트 공휴일 의무 휴업 규제 없앤다…단통법도 폐지 / SBS 8뉴스, SBS 뉴스 ,게임
"[자막뉴스] 미국의 '반토막'...한국 20대, 60%가 ""안 먹어요"" / YTN",  YTN ,게임
"""사장님, 카드 돼요?"" 물었더니…바가지 탈피한다며 '600g' (자막뉴스) / SBS", SBS 뉴스 ,게임
"[자막뉴스] 밥 먹다 얼굴 파래지며 ""억!"" 비명 들은 옆방 여성들이..(MBC뉴스)", MBCNEWS ,게임
뉴스공장을 죽인 것처럼, 델리민주 Daily Minjoo ,게임
"총선 D-80, ""공평한 공천""‥현역 컷오프 시작 - [LIVE] MBC 뉴스데스크 & 스트레이트 2024년 01월 21일", MBCNEWS ,게임
"[자막뉴스] ""지금 알바 구하기 재앙임"" 사장님들에게 무슨 일이? (울산MBC)", MBCNEWS ,게임
[자막뉴스] 서비스센터 직원도 가담...35억 원 벌어들인 수법 / YTN,  YTN ,게임
"중계권 없이 '무단 중계'.. FIFA, 北에 경고장 날려 [지금이뉴스] / YTN",  YTN ,게임
"[자막뉴스] ""임대라고 막 지은 겁니까?""..'일상이 봉변' 주민들 폭발 (MBC뉴스)", MBCNEWS ,게임
[모닝와이드] 오늘의 주요뉴스 / SBS, SBS 뉴스 ,게임
"""13시간 초인종 눌러""‥스토킹 시달리다 사망 (2024.01.09/뉴스투데이/MBC)", MBCNEWS ,게임
"""누가 봐도 친미인데"" 그 길 막히면…바짝 긴장한 한국 상황 #뉴스다 / JTBC News", JTBC News ,게임
"[자막뉴스] 반토막 난 함덕 곶자왈 마을 ""더는 못 참아"" ""우리도"" (제주MBC 뉴스)", MBCNEWS ,게임
"[오늘 이 뉴스] 사표 낸 '이재명 사건' 재판장 ""내가 사또도 아니고..난 자유"" (2024.01.10/MBC뉴스)", MBCNEWS ,게임
서울서 이럴 줄 알았겠어요?…대한민국 수도조차 못 버텼다 #뉴스다 / JTBC News, JTBC News ,게임
미국산 장갑차에 러시아 주력 탱크 ‘산산조각’ | 뉴스A, 채널A 뉴스 ,게임
그 돈을 써놓고…아프리카서 ‘한 방’ 먹은 중국 [경제합시다] / KBS 2024.01.22., KBS News ,게임
"[뉴스 바사삭] 尹 대통령, '명품백 논란' 직접 입장설명 유력 검토 중...KBS 거론 - 김준일&장성철｜MBC 240125 방송", MBC 라디오 시사 ,게임
"합참 ""북한, 서해 일대에서 순항미사일 여러 발 발사"" [이슈PLAY] / JTBC News", JTBC News ,게임
"""손 안놓고 고성""? 영상 봤더니.. ""진보당 키우는 보수 대통령"" [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"[자막뉴스] ""일본, 일주일 안에..."" 불바다된 日 열도 향한 무서운 경고 / YTN",  YTN ,게임
"[자막뉴스] ""굉장히 의문이죠"" 전문가도 '깜짝'…지자체 발목 잡히자 하는 말이 / JTBC News", JTBC News ,게임
"가격 급발진 원인 ""이제 시작""…'국민 과일' 사라질 위기에 #뉴스다 / JTBC News", JTBC News ,게임
"""간부 인질로 잡고..."" 중국에서 벌어진 北 '특대형 사건' 전말 [지금이뉴스] / YTN",  YTN ,게임
"[오늘 이 뉴스] ""나는 왜 명품백을 전달했나"" 공개석상 나온 최재영 목사 (2024.01.22/MBC뉴스)", MBCNEWS ,게임
[이슈] 호남 대설특보…이틀간 최고 20cm 전망/내일(23일) 이번 겨울 가장 춥다…'북극 한파' 원인은?/2024년 1월 22일(월)/KBS, KBS News ,게임
"""희석아, 나 한 번만 살려줘""…'초유의 사태' 그 뒤엔 #뉴스다 / JTBC News", JTBC News ,게임
"'90도' 인사에 어깨 '툭', 갈등 봉합? 명품백이 대통령 기록물?..논란 계속 - [핫이슈PLAY] MBC뉴스 2024년 1월 23일", MBCNEWS ,게임
[자막뉴스] 용산-한동훈 갈등 폭발...돌아올 수 없는 강 건넜다? / YTN,  YTN ,게임
"김준일 ""신임 법무부 장관? 한동훈 라인 정리"" [김혜영의 뉴스공감]", CPBC 뉴스 ,게임
"수백만 경기도민 뭐로 보고…""믿지도 않았지만 역시나"" #뉴스다 / JTBC News", JTBC News ,게임
"[자막뉴스] ""다 이 칸 피해요""...'의자 없는 지하철' 반응 보니 / YTN",  YTN ,게임
[이슈] 강원 산지 대설 특보 이어 다음 주 영하 10도 강추위…美 덮친 '북극한파' 몰려오나?/2024년 1월 20일(토)/KBS, KBS News ,게임
이재명 공격한 남성...소름 돋는 과거 행적｜지금 이 뉴스, JTBC News ,게임
"'더블 블로킹' 갇힌 대한민국…""초강력 추위"" 이유 있었다 / SBS 8뉴스", SBS 뉴스 ,게임
"[오늘 이 뉴스] 尹 악수하며 ""국정 기조 바꿔야"" 잠시 후 의원 입을 틀어막더니.. (2024.01.18/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] ""남한 평정"" 움직이는 北 …한반도 '위험 신호' / YTN",  YTN ,게임
"[오늘 이 뉴스] ""65세 이상 지하철 공짜 폐지""..""대통령 황제출장 방지 추진"" (2024.01.18/MBC뉴스)", MBCNEWS ,게임
[자막뉴스] 감기·독감 항생제 쓰면 금방 낫는다? '큰일 날 소리' / YTN,  YTN ,게임
[자막뉴스] 우글우글 몰려든 사람들...'초강경 대응' 선언한 美 텍사스 / YTN,  YTN ,게임
[자막뉴스] 서울대도 '이걸 어쩌나'...혼돈에 빠진 대학교들 / YTN,  YTN ,게임
"[자막뉴스] ""회복 불능의 충격"" 분노한 푸틴? 美 금융계까지 '발칵'",  YTN ,게임
‘문 닫는’ 요양보호사 교육원…“인력난 가속화 우려” [9시 뉴스] / KBS  2024.01.21., KBS News ,게임
"[단독] “北, 열차 아닌 버스 전복사고” | 뉴스A", 채널A 뉴스 ,게임
다시 백종원에 손 내민 예산 국밥 거리 | 자막뉴스, KBS뉴스 전북 ,게임
"우승해도 적자라는 LCK, 클템에게 한국 롤 위기인지 묻다 [탐욕의 스포츠: 13편] / 스브스뉴스", 스브스뉴스 SUBUSUNEWS ,게임
‘탕후루 옆 탕후루’ 유튜버에 살인예고 | 뉴스A, 채널A 뉴스 ,게임
"[뉴스 '꾹'] 故 이선균 죽음에 분노.. 봉준호, 윤종신 등 나선다 (2024.01.09/MBC뉴스)", MBCNEWS ,게임
"멀쩡히 '아이돌 생활'하더니…""군대 안 갈래"" 기막힌 꼼수 (자막뉴스) / SBS", SBS 뉴스 ,게임
광기의 中...이번엔 '치사율 100%' 코로나 변이 제조 [지금이뉴스] / YTN,  YTN ,게임
영상 본 러시아인들 '깜짝'…문 열기 시작한 북한 (자막뉴스) / SBS, SBS 뉴스 ,게임
'숏폼' 디지털 마약인가…나도 혹시 중독? / SBS 8뉴스, SBS 뉴스 ,게임
"이재명, '위증교사' 의혹 첫 재판...주요 쟁점은? [뉴스라이브] / YTN", YTN 돌았저 - 돌발영상  ,게임
[자막뉴스] 시진핑 뒷목 잡을 경기력...치욕만 보여준 '소림축구' / YTN,  YTN ,게임
"'자체 개발 칩' 넣은 삼성…글로벌 기업들 ""우리도 시작"" (자막뉴스) / SBS", SBS 뉴스 ,게임
"[자막뉴스] ""정말 정말 피눈물 나요""…김포 신축 아파트 입주 예정자들 '날벼락' / KBS 2024.01.10.", KBS News ,게임
"나라곳간 펑크에도 연일 '감세 정책', 117조 마통에 보다못한 한국은행 '제동' - [핫이슈PLAY] MBC뉴스 2024년 1월 20일", MBCNEWS ,게임
[자막뉴스] 5호선 중재안 내놓자 '발칵'…경기도민들 반응 벌써 심상찮다 / JTBC News, JTBC News ,게임
"[뉴스모아] 이 눈, 즉시 치워야…폭설에 동계청소년올림픽도 '비상' / YTN",  YTN ,게임
"""북한 전력난에 열차 전복, 400명 사망...시체처리 전담반도"" [지금이뉴스]  / YTN",  YTN ,게임
그 돈을 써놓고…아프리카서 ‘한 방’ 먹은 중국 [경제합시다] / KBS 2024.01.22., KBS News ,게임
서울 -14도 전국 대부분 한파 특보‥'추위 절정' - [LIVE] MBC 뉴스투데이 2024년 1월 23일, MBCNEWS ,게임
"[자막뉴스] 설마 한국 노렸나…""이런 경우는 이례적"" 부산항 '발칵' / JTBC News", JTBC News ,게임
"한 발 뺀 여권 주류 ""한동훈 사퇴"" 여론몰이 실패? [MBN 뉴스7]", MBN News ,게임
김정은 극대노 할 상황...고위층 대탈출 [지금이뉴스] / YTN,  YTN ,게임
"[오늘 이 뉴스] ""이재명 왜 공격했나?"" 질문에 이틀 만에 입 연 피의자 (2024.01.04/MBC뉴스)", MBCNEWS ,게임
[다시보기] 뉴스룸｜'초대 대표 이준석' 개혁신당 출범…제3지대 세력 총출동 (24.1.20) / JTBC News, JTBC News ,게임
"""전 남친 무서워"" 지인과 귀가 '휴,,도착' 문 열었더니.. [뉴스.zip/MBC뉴스]", MBCNEWS ,게임
"[자막뉴스] ""28명 뽑아요"" 필기 붙은 장애인  면접 갔더니 질문에 '경악'(MBC뉴스)", MBCNEWS ,게임
"배우 김수미, 업무상 횡령 혐의로 아들과 함께 피소 / 연합뉴스TV (YonhapnewsTV)", 연합뉴스TV ,게임
독감 '91배' 폭증‥노로바이러스 '역대급' 확산 (2024.01.19/12MBC뉴스), MBCNEWS ,게임
"[자막뉴스] ""남한, 속아 넘어가""...北이 공개한 영상 / YTN",  YTN ,게임
테슬라 보고 있나? -30도 문제 없는 '2마력' 도랑 빠진 SUV도 들어올리네｜지금 이 장면, JTBC News ,게임
수도권 이어 서해안 폭설‥강추위 다시 시작 - [LIVE] MBC 뉴스투데이 2024년 1월 22일, MBCNEWS ,게임
[자막뉴스] 불타는 첩보 본부에 기겁한 이스라엘? 초토화시킨 이란의 경고 / YTN,  YTN ,게임
여야 합의 불발‥'중대재해법' 내일 전면 시행 #Shorts (MBC뉴스), MBCNEWS ,게임
"[오늘 이 뉴스] ""무슨 사과예요? 수사받아야지"" 이언주 ""황후마마도 아니고"" (2024.01.19/MBC뉴스)", MBCNEWS ,게임
"""LK-99, 초전도체 맞다""...공개 발표한 내용 [지금이뉴스] / YTN",  YTN ,게임
"오르면 안 내리는 외식비…""최소 1만 원"" / SBS 8뉴스", SBS 뉴스 ,게임
"[자막뉴스] ""뽀뽀좀 그만"" ""거길 왜 때려요""..의원님 방 갈 때마다 '지옥' (MBC뉴스)", MBCNEWS ,게임
"'압구정 롤스로이스 뺑소니 사망'…가해 운전자, 1심 징역 20년 [이슈PLAY] / JTBC News", JTBC News ,게임
"우크라 때린 '북한 미사일'…""한반도가 걱정된다"" / SBS 8뉴스", SBS 뉴스 ,게임
일제히 한동훈 공격 나선 친윤…“분당시키러 왔냐” | 뉴스A, 채널A 뉴스 ,게임
"""북한 전쟁할까?"" 외신 주목…""대립 위험성 커져"" (자막뉴스) / SBS", SBS 뉴스 ,게임
"""끌려나간 국회의원""‥'전주을' 전국민이 '주목' (2024.01.22/뉴스데스크/전주MBC)", MBCNEWS ,게임
"[자막뉴스] ""운전자, 다 겁 먹었어요"" 보고도 못 믿을 고속도로 역대급 행패 / KBS 2024.01.05.", KBS News ,게임
"[자막뉴스] 사형 집행에도 쓰여...숨진 20대 간호사, 고위험 약물 투약 정황",  YTN ,게임
[자막뉴스] 한숨만 나옵니다...무더기로 걸린 공무원 / YTN,  YTN ,게임
"'[오늘 이 뉴스] ""KBS에 수사내용 제공 경위 밝혀야""..故 이선균 동료들의 '분노' (2024.01.12/MBC뉴스)", MBCNEWS ,게임
제주·서해 대설에 결항…중부 체감 -21도 [뉴스N이슈] 다시보기 2024년 01월 23일  / YTN,  YTN ,게임
"[자막뉴스] ""안 낳아야 하는데 왜 낳았노""..귀를 의심케 한 구청장 '막말' (2024.01.22/MBC뉴스)", MBCNEWS ,게임
쥐 떼에 습격당한 우크라 전장‥'참혹한 참호전' (2024.01.22/뉴스데스크/MBC), MBCNEWS ,게임
[풀영상] 뉴스9 : 문 정부 핵심인사 ‘줄소환’…‘통계조작 의혹’ 수사 속도 – 2024년 1월 19일(금) / KBS, KBS News ,게임
"'영하 42도' 냉동고 된 미국…1억 명에 ""집에 머물러라"" / SBS", SBS 뉴스 ,게임
"[단독] ""끽끽끽"" 원숭이 소리내며 달려든 흑인들...이탈리아서 또 인종차별 폭행｜지금 이 뉴스", JTBC News ,게임
"""DJ 정신 실종"" 외치자 DJ 셋째 아들이...｜지금 이 뉴스", JTBC News ,게임
'죽음의 막걸리' 수상한 점들…이제야 본 CCTV에 '충격' #뉴스다 / JTBC News, JTBC News ,게임
'한동훈 사퇴' 요구하고 '김건희 리스크' 더 키운 꼴｜뉴스들어가혁, JTBC News ,게임
"[자막뉴스] ""유독가스 누출되니 대피하라!""수산물 시장에 초대형 '화염' (MBC뉴스)", MBCNEWS ,게임
'윤심 전달자'가 단톡방에 공유한 내용 봤더니 '아…' #뉴스다 / JTBC News, JTBC News ,게임
"""미국으로"" 목숨 건 중국인들…'역대 최대 수준' 폭증 (자막뉴스) / SBS", SBS 뉴스 ,게임
"""어떡해"" 순식간에 아수라장…뿌옇게 퍼지더니 '확' (자막뉴스) / SBS", SBS 뉴스 ,게임
"[뉴스 '꾹'] ""손바닥 王 방어할 때 심정은.."" 김용남 연쇄 직격 與 '술렁' (2024.01.15/MBC뉴스)", MBCNEWS ,게임
"[자막뉴스] 제주도 살고 있던 '강남 집주인' ""올라가니 집 비워라"" 했지만.. (MBC뉴스)", MBCNEWS ,게임
[다시 간다]‘혐한’ 논란 대마도…7년 만에 다시 가보니 | 뉴스A, 채널A 뉴스 ,게임
'핵폭탄 1000억개' 파괴력...지구 날아온 우주선에 '패닉' [지금이뉴스] / YTN,  YTN ,게임
부정승차 58%는 젊은이가 쓴 ‘경로우대 카드’ | 뉴스A, 채널A 뉴스 ,게임
[뉴스 '꾹'] “사장님..지금 큰일 났습니다!” 퇴사 직원 ‘딸깍’ 한번에 ‘발칵’ (2024.01.10/MBC뉴스), MBCNEWS ,게임
[자막뉴스] '중력도 거스르는 느낌'...로봇 입은 고령자에 열린 신세계 / YTN,  YTN ,게임
"[오늘 이 뉴스] ""아이 낳지 마십시오! 이 나라에선 살 수 없습니다"" 폭발한 유족들 (2024.01.18/MBC뉴스)", MBCNEWS ,게임
"북, '평양방송' 중단…'대남 창구' 속속 폐쇄 / SBS 8뉴스", SBS 뉴스 ,게임
"대통령실 사퇴 요구에 한동훈이 남긴 말은? ""국민 보고 나선 길, 할 일 하겠다""｜지금 이 뉴스", JTBC News ,게임
[풀영상] 뉴스광장 : 양천·구로 3만 8천여 가구 온수·난방 중단 - 2024년 1월 18일(목) / KBS, KBS News ,게임
